time,c,d,r
221,0.053988954,0.002800168,0.132273779
222,-0.012199457,-0.082624354,-0.08690912
223,0.04707336,-0.017001151,0.104264088
224,0.031499376,-0.032390567,0.013376182
225,0.040968519,0.175393261,0.259437348
226,-0.052475958,0.075576082,0.046225826
227,0.064283706,0.044710202,0.212049555
228,0.016494064,-0.012619841,0.000503409
229,0.001437266,0.088355845,0.144172596
230,0.044443736,0.116681454,0.219498372
231,-0.013780562,0.118238472,0.126926376
232,0.07288061,0.132186789,0.273536314
233,0.013999246,0.026088442,0.025212555
234,0.021450352,0.167795941,0.246297274
235,0.004737374,-0.18199675,-0.159188251
236,0.035865812,0.088531206,0.198172187
237,0.01049802,-0.059177379,-0.030862081
238,0.067142406,0.002311104,0.119615891
239,-0.030111661,-0.172513384,-0.211066688
240,0.04924986,0.098516435,0.25290953
241,-0.042139285,-0.219572217,-0.261960267
242,0.033580531,-0.070210102,0.073578747
243,-0.017549931,-0.116277528,-0.103058184
244,0.007807327,0.088248732,0.189277487
245,0.066331842,0.170890971,0.290838093
246,0.011367582,-0.06677715,-0.072872364
247,0.027712295,0.257386794,0.356681327
248,0.014613302,0.148129808,0.189649847
249,0.004146039,-0.037641691,0.002260171
250,0.07740181,0.197652313,0.341781894
